,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms,time_signature
157,0.479,0.768,-5.204,0.0312,7.02e-05,0.00549,0.121,0.576,110.024,6Tm4Io4ct4w14nB1EUzsY3,183790,4
158,0.885,0.157,-23.074,0.0592,0.534,0.866,0.11,0.786,99.995,5lA9sILUX3Ie2XrXSGtHrU,167981,4
159,0.629,0.698,-4.485,0.308,0.0509,0.00166,0.0909,0.599,117.765,0UvZcEfpzVyx47QsRbjyBz,201816,4
160,0.864,0.21,-22.485,0.0743,0.503,0.879,0.105,0.898,129.93,2Q7PLag4LFqOB4Rta73Hxv,147681,4
161,0.578,0.431,-7.034,0.0269,0.469,0.0,0.137,0.21,116.979,1TUuhV75FeOF6UObRsABo2,226975,3
162,0.614,0.615,-7.971,0.043,0.13,0.0494,0.384,0.374,80.297,4UXBXbOHkN2ByEW7GMi6E5,304011,4
163,0.742,0.527,-6.892,0.0769,0.327,0.0,0.25,0.638,84.974,3o9kpgkIcffx0iSwxhuNI2,169238,4
164,0.558,0.0847,-20.316,0.0438,0.939,0.26,0.1,0.532,142.577,4Rec8Cm7xGxdrhMxCYU9Kd,225000,4
165,0.647,0.765,-6.459,0.06,0.111,0.0,0.315,0.855,79.994,58UKC45GPNTflCN6nwCUeF,161853,4
166,0.472,0.576,-16.368,0.036,0.844,0.912,0.19,0.842,86.341,1pkC7ik3IwiwIoLSgzqYRD,146000,4
167,0.869,0.298,-12.076,0.386,0.2,0.0,0.0753,0.178,77.47,5cx7vkF8BQ0iOsVpfvZbnz,161355,4
168,0.35,0.127,-18.467,0.0351,0.94,0.893,0.0772,0.216,101.419,5aEWmo58rXyIpeK4WSWqeu,649000,4
169,0.695,0.636,-4.654,0.317,0.234,0.0,0.081,0.575,174.14,2rurDawMfoKP4uHyb2kJBt,172235,4
170,0.319,0.148,-19.195,0.0438,0.948,0.811,0.199,0.164,95.359,2VIefSHPIMd7B6QPpX54Qu,513000,3
171,0.773,0.707,-5.71,0.0568,0.0103,1.04e-05,0.296,0.113,76.977,6wyhUr4Xw8z5uSy0AhoZfU,236187,4
